"x" "y" "vegt" "nbr"
"186" 564340.053 1751170.089 1 -85.2949711001938
"187" 564850.053 1751170.089 1 -204.419538995392
"188" 565360.053 1751170.089 1 -267.256986039738
"189" 565870.053 1751170.089 1 -300.06009552636
"190" 566380.053 1751170.089 1 -203.976840501483
"191" 566890.053 1751170.089 1 -191.340194854209
"192" 567400.053 1751170.089 1 -242.110684665435
"193" 567910.053 1751170.089 1 -437.737784098593
"194" 568420.053 1751170.089 1 -243.494137814306
"195" 568930.053 1751170.089 1 -209.279284572937
"196" 569440.053 1751170.089 1 -259.960330824544
"197" 569950.053 1751170.089 1 -203.931874732251
"198" 570460.053 1751170.089 1 -223.600943007200
"199" 570970.053 1751170.089 1 280.27002058381
"200" 571480.053 1751170.089 1 383.439166215748
"201" 560770.053 1751680.089 1 141.362582703432
"202" 561280.053 1751680.089 2 23.6978196599364
"203" 561790.053 1751680.089 1 -153.614649683243
"204" 562300.053 1751680.089 1 -28.4583384878354
"205" 562810.053 1751680.089 1 282.19917375694
"206" 563320.053 1751680.089 1 -129.114850509545
"207" 563830.053 1751680.089 1 121.539483966704
"208" 564340.053 1751680.089 1 -99.9530786090307
"209" 564850.053 1751680.089 1 -111.752400096319
"210" 565360.053 1751680.089 1 11.4474803344838
"211" 565870.053 1751680.089 1 -163.987762464171
"212" 566380.053 1751680.089 1 -209.895583441518
"213" 566890.053 1751680.089 1 -99.3531674892423
"214" 567400.053 1751680.089 1 -36.9152411523645
"215" 567910.053 1751680.089 1 -230.333529865975
"216" 568420.053 1751680.089 1 -109.792686234715
"217" 568930.053 1751680.089 1 -96.4272481953884
"218" 569440.053 1751680.089 1 -346.985227776239
"219" 569950.053 1751680.089 1 -338.086537278653
"220" 570460.053 1751680.089 1 -64.6608166983451
"221" 570970.053 1751680.089 1 74.9455769005251
"222" 571480.053 1751680.089 1 130.069839382772
"223" 571990.053 1751680.089 1 0.0359033980929553
"224" 560260.053 1752190.089 1 -87.4103434001693
"225" 560770.053 1752190.089 1 155.017450112879
"226" 561280.053 1752190.089 1 304.326337244983
"227" 561790.053 1752190.089 1 140.510446123590
"228" 562300.053 1752190.089 1 173.060981001916
"229" 562810.053 1752190.089 1 78.809182512299
"230" 563320.053 1752190.089 1 -232.589329698924
"231" 563830.053 1752190.089 1 72.0339272111428
"232" 564340.053 1752190.089 1 254.159943409023
"233" 564850.053 1752190.089 1 292.293148510175
"234" 565360.053 1752190.089 1 231.562739227873
"235" 565870.053 1752190.089 1 34.1503159813637
"236" 566380.053 1752190.089 1 -51.8422433998776
"237" 566890.053 1752190.089 1 -163.196133367750
"238" 567400.053 1752190.089 1 -0.522024097746794
"239" 567910.053 1752190.089 1 -102.163996639555
"240" 568420.053 1752190.089 1 -53.3869896722985
"241" 568930.053 1752190.089 1 -184.24991185773
"242" 569440.053 1752190.089 1 -129.598381935938
"243" 569950.053 1752190.089 1 -114.025323536370
"244" 570460.053 1752190.089 1 83.825613473518
"245" 570970.053 1752190.089 1 194.994337151732
"246" 571480.053 1752190.089 1 318.066306323145
"247" 571990.053 1752190.089 1 47.2580974819216
"248" 559240.053 1752700.089 1 252.525224685669
"249" 559750.053 1752700.089 2 134.212652969776
"250" 560260.053 1752700.089 1 62.7640175731362
"251" 560770.053 1752700.089 1 127.331985922000
"252" 561280.053 1752700.089 1 44.3120274626185
"253" 561790.053 1752700.089 1 250.255380303793
"254" 562300.053 1752700.089 1 374.019824943730
"255" 562810.053 1752700.089 1 324.706540536706
"256" 563320.053 1752700.089 1 63.7300347117525
"257" 563830.053 1752700.089 1 91.4816216597435
"258" 564340.053 1752700.089 1 70.4768602790216
"259" 564850.053 1752700.089 1 33.9630045272004
"260" 565360.053 1752700.089 1 0.159984837965681
"261" 565870.053 1752700.089 1 155.825681669996
"262" 566380.053 1752700.089 1 -105.823770117807
"263" 566890.053 1752700.089 1 -157.418874384939
"264" 567400.053 1752700.089 1 -102.089647797984
"265" 567910.053 1752700.089 1 -144.063214632370
"266" 568420.053 1752700.089 1 -15.4998962982384
"267" 568930.053 1752700.089 1 59.9515533684373
"268" 569440.053 1752700.089 1 123.416859388550
"269" 569950.053 1752700.089 1 51.1093951735866
"270" 570460.053 1752700.089 1 -192.457185302283
"271" 570970.053 1752700.089 1 4.61346197033026
"272" 571480.053 1752700.089 1 200.851203227644
"273" 571990.053 1752700.089 3 197.146558959789
"274" 557710.053 1753210.089 2 -159.549887084961
